edition_ID,City_ID,Language,State,Month,Copies Sold,copies_returned,Net_Circulation,Year
ED1005,C005,Hindi,Rajasthan,May-23,404389,13510,390879,2023
ED1005,C005,Hindi,Rajasthan,Mar-19,492943,25024,467919,2019
ED1001,C001,hindi,Uttar pradesh,Jul-23,168893,12285,156608,2023
ED1003,C003,Hindi,Madhya_Pradesh,Jul-23,216540,10117,206423,2023
ED1007,C007,Hindi,Jharkhand,Oct-20,234563,13048,221515,2020
ED1001,C001,hindi,Uttar pradesh,Jun-24,149986,6387,143599,2024
ED1001,C001,hindi,Uttar pradesh,Apr-24,155269,9394,145875,2024
ED1003,C003,Hindi,Madhya_Pradesh,Feb-19,274749,13327,261422,2019
ED1005,C005,Hindi,Rajasthan,May-19,498423,30933,467490,2019
ED1006,C006,english,maharashtra,Jul-21,377357,17925,359432,2021
ED1010,C010,Hindi,Uttar-Pradesh,Nov-23,389952,17470,372482,2023
ED1007,C007,Hindi,Jharkhand,May-20,234054,14644,219410,2020
ED1001,C001,hindi,Uttar pradesh,Apr-22,166729,5975,160754,2022
ED1002,C002,ENGLISH,Delhi,Jun-21,351210,18616,332594,2021
ED1006,C006,english,maharashtra,Nov-24,304809,13930,290879,2024
ED1005,C005,Hindi,Rajasthan,May-22,422488,22678,399810,2022
ED1002,C002,ENGLISH,Delhi,Mar-20,356422,17505,338917,2020
ED1009,C009,Hindi,gujarat,Apr-23,266904,13638,253266,2023
ED1004,C004,Hindi,bihar,Aug-22,231765,14158,217607,2022
ED1003,C003,Hindi,Madhya_Pradesh,Oct-24,207963,9464,198499,2024
ED1007,C007,Hindi,Jharkhand,Mar-20,232783,7954,224829,2020
ED1006,C006,english,maharashtra,Aug-19,424402,26771,397631,2019
ED1001,C001,hindi,Uttar pradesh,Oct-21,194492,12156,182336,2021
ED1010,C010,Hindi,Uttar-Pradesh,Mar-22,390340,12438,377902,2022
ED1007,C007,Hindi,Jharkhand,Nov-22,â‚¹216680,7052,209628,2022
ED1005,C005,Hindi,Rajasthan,Dec-21,422959,18890,404069,2021
ED1004,C004,Hindi,bihar,Mar-22,215106,13963,201143,2022
ED1003,C003,Hindi,Madhya_Pradesh,Jul-24,211625,15649,195976,2024
ED1002,C002,ENGLISH,Delhi,Jan-23,319153,13703,305450,2023
ED1002,C002,ENGLISH,Delhi,Feb-24,299137,22038,277099,2024
ED1006,C006,english,maharashtra,Oct-23,333322,13546,319776,2023
ED1006,C006,english,maharashtra,Apr-19,413633,28647,384986,2019
ED1005,C005,Hindi,Rajasthan,Jan-23,395177,20456,374721,2023
ED1006,C006,english,maharashtra,Apr-20,389210,11735,377475,2020
ED1008,C008,Hindi,Uttar Pradesh,Aug-24,283139,21735,261404,2024
ED1009,C009,Hindi,gujarat,Jan-24,231585,10447,221138,2024
ED1010,C010,Hindi,Uttar-Pradesh,Sep-24,364199,26695,337504,2024
ED1008,C008,Hindi,Uttar Pradesh,Jun-24,299314,17723,281591,2024
ED1009,C009,Hindi,gujarat,Aug-19,â‚¹312856,13297,299559,2019
ED1007,C007,Hindi,Jharkhand,Feb-24,179614,10816,168798,2024
ED1005,C005,Hindi,Rajasthan,Jan-20,447359,26679,420680,2020
ED1002,C002,ENGLISH,Delhi,Apr-24,291694,22100,269594,2024
ED1001,C001,hindi,Uttar pradesh,Feb-23,171576,11259,160317,2023
ED1010,C010,Hindi,Uttar-Pradesh,May-24,363888,17379,346509,2024
ED1006,C006,english,maharashtra,Sep-23,346960,20431,326529,2023
ED1002,C002,ENGLISH,Delhi,Jan-19,396250,15569,380681,2019
ED1005,C005,Hindi,Rajasthan,Jul-23,386491,28006,358485,2023
ED1009,C009,Hindi,gujarat,Oct-20,â‚¹295294,20493,274801,2020
ED1010,C010,Hindi,Uttar-Pradesh,Apr-19,495571,36995,458576,2019
ED1002,C002,ENGLISH,Delhi,Jun-19,387789,11738,376051,2019
ED1008,C008,Hindi,Uttar Pradesh,Jul-20,351326,11148,340178,2020
ED1010,C010,Hindi,Uttar-Pradesh,Jan-21,413556,31538,382018,2021
ED1007,C007,Hindi,Jharkhand,Jun-19,235078,10381,224697,2019
ED1009,C009,Hindi,gujarat,Apr-20,312704,17758,294946,2020
ED1002,C002,ENGLISH,Delhi,Dec-23,292264,19810,272454,2023
ED1005,C005,Hindi,Rajasthan,May-24,382678,27859,354819,2024
ED1003,C003,Hindi,Madhya_Pradesh,Aug-24,215145,13945,201200,2024
ED1003,C003,Hindi,Madhya_Pradesh,Dec-24,211342,16081,195261,2024
ED1002,C002,ENGLISH,Delhi,Jan-20,374659,20241,354418,2020
ED1005,C005,Hindi,Rajasthan,Jun-22,430228,15138,415090,2022
ED1008,C008,Hindi,Uttar Pradesh,May-21,351882,27321,324561,2021
ED1001,C001,hindi,Uttar pradesh,Nov-19,208186,8632,199554,2019
ED1002,C002,ENGLISH,Delhi,Jul-19,384598,20109,364489,2019
ED1006,C006,english,maharashtra,Oct-21,362712,24978,337734,2021
ED1004,C004,Hindi,bihar,Nov-21,240275,13003,227272,2021
ED1002,C002,ENGLISH,Delhi,Feb-21,341324,10896,330428,2021
ED1010,C010,Hindi,Uttar-Pradesh,Jul-19,478384,26410,451974,2019
ED1003,C003,Hindi,Madhya_Pradesh,Dec-19,281893,17252,264641,2019
ED1008,C008,Hindi,Uttar Pradesh,Dec-20,370710,20295,350415,2020
ED1009,C009,Hindi,gujarat,Sep-20,304566,22870,281696,2020
ED1010,C010,Hindi,Uttar-Pradesh,Sep-20,479906,26402,453504,2020
ED1006,C006,english,maharashtra,Jan-23,348027,24975,323052,2023
ED1002,C002,ENGLISH,Delhi,Oct-19,372975,27522,345453,2019
ED1006,C006,english,maharashtra,Nov-20,397852,28110,369742,2020
ED1003,C003,Hindi,Madhya_Pradesh,May-19,297817,20351,277466,2019
ED1008,C008,Hindi,Uttar Pradesh,Sep-21,329679,12959,316720,2021
ED1009,C009,Hindi,gujarat,Jun-19,334610,22617,311993,2019
ED1005,C005,Hindi,Rajasthan,Sep-23,385975,11796,374179,2023
ED1010,C010,Hindi,Uttar-Pradesh,Jul-24,377974,24863,353111,2024
ED1004,C004,Hindi,bihar,Sep-21,243443,17615,225828,2021
ED1008,C008,Hindi,Uttar Pradesh,Jun-21,354278,19786,334492,2021
ED1005,C005,Hindi,Rajasthan,Jul-20,448097,22270,425827,2020
ED1003,C003,Hindi,Madhya_Pradesh,Jan-23,236649,17145,219504,2023
ED1005,C005,Hindi,Rajasthan,Dec-19,â‚¹488725,16187,472538,2019
ED1001,C001,hindi,Uttar pradesh,Aug-21,191534,11091,180443,2021
ED1007,C007,Hindi,Jharkhand,Dec-24,188572,8788,179784,2024
ED1008,C008,Hindi,Uttar Pradesh,Oct-22,321968,10534,311434,2022
ED1004,C004,Hindi,bihar,Apr-20,259434,8473,250961,2020
ED1007,C007,Hindi,Jharkhand,Feb-21,222154,11636,210518,2021
ED1010,C010,Hindi,Uttar-Pradesh,Jan-20,444565,25107,419458,2020
ED1004,C004,Hindi,bihar,Jul-20,241009,14832,226177,2020
ED1001,C001,hindi,Uttar pradesh,Aug-23,162799,10087,152712,2023
ED1003,C003,Hindi,Madhya_Pradesh,Jun-24,218393,11815,206578,2024
ED1005,C005,Hindi,Rajasthan,Mar-23,â‚¹407058,26710,380348,2023
ED1003,C003,Hindi,Madhya_Pradesh,Jul-21,265136,13672,251464,2021
ED1005,C005,Hindi,Rajasthan,Mar-24,357236,21401,335835,2024
ED1002,C002,ENGLISH,Delhi,May-19,397820,27489,370331,2019
ED1001,C001,hindi,Uttar pradesh,Mar-19,198628,13704,184924,2019
ED1008,C008,Hindi,Uttar Pradesh,Sep-22,317011,13471,303540,2022
ED1002,C002,ENGLISH,Delhi,Feb-22,336080,11781,324299,2022
ED1005,C005,Hindi,Rajasthan,Apr-19,â‚¹492394,15835,476559,2019
ED1010,C010,Hindi,Uttar-Pradesh,Aug-24,375754,12602,363152,2024
ED1005,C005,Hindi,Rajasthan,Dec-20,473341,22205,451136,2020
ED1005,C005,Hindi,Rajasthan,Apr-24,363198,18301,344897,2024
ED1003,C003,Hindi,Madhya_Pradesh,May-24,215893,16101,199792,2024
ED1005,C005,Hindi,Rajasthan,Oct-24,363181,14806,348375,2024
ED1003,C003,Hindi,Madhya_Pradesh,Feb-22,238270,8488,229782,2022
ED1004,C004,Hindi,bihar,Aug-20,242482,11939,230543,2020
ED1004,C004,Hindi,bihar,Dec-19,â‚¹271003,20167,250836,2019
ED1010,C010,Hindi,Uttar-Pradesh,Oct-19,507012,19757,487255,2019
ED1002,C002,ENGLISH,Delhi,Nov-22,327736,20675,307061,2022
ED1007,C007,Hindi,Jharkhand,Jul-20,237334,8538,228796,2020
ED1009,C009,Hindi,gujarat,Dec-22,288006,20972,267034,2022
ED1002,C002,ENGLISH,Delhi,Jul-20,360134,23892,336242,2020
ED1008,C008,Hindi,Uttar Pradesh,Nov-19,385207,25419,359788,2019
ED1005,C005,Hindi,Rajasthan,Apr-22,406326,24740,381586,2022
ED1006,C006,english,maharashtra,Jun-20,408191,25077,383114,2020
ED1001,C001,hindi,Uttar pradesh,Jan-24,162016,12321,149695,2024
ED1009,C009,Hindi,gujarat,Apr-19,323016,24055,298961,2019
ED1001,C001,hindi,Uttar pradesh,Jul-21,184874,11596,173278,2021
ED1001,C001,hindi,Uttar pradesh,Oct-24,161378,10424,150954,2024
ED1006,C006,english,maharashtra,Mar-22,349292,10742,338550,2022
ED1009,C009,Hindi,gujarat,Nov-22,265761,10014,255747,2022
ED1001,C001,hindi,Uttar pradesh,Sep-22,180272,13479,166793,2022
ED1005,C005,Hindi,Rajasthan,Jul-19,495839,27892,467947,2019
ED1001,C001,hindi,Uttar pradesh,Nov-24,146927,7829,139098,2024
ED1006,C006,english,maharashtra,May-21,394747,29544,365203,2021
ED1010,C010,Hindi,Uttar-Pradesh,May-19,â‚¹480926,35500,445426,2019
ED1009,C009,Hindi,gujarat,Jan-20,298464,18346,280118,2020
ED1007,C007,Hindi,Jharkhand,Jul-21,211986,7591,204395,2021
ED1010,C010,Hindi,Uttar-Pradesh,Feb-21,437450,18105,419345,2021
ED1006,C006,english,maharashtra,Jan-24,307998,13660,294338,2024
ED1004,C004,Hindi,bihar,May-19,256933,11125,245808,2019
ED1008,C008,Hindi,Uttar Pradesh,Jan-23,291126,9742,281384,2023
ED1005,C005,Hindi,Rajasthan,Dec-22,431462,25557,405905,2022
ED1010,C010,Hindi,Uttar-Pradesh,Mar-24,360722,23761,336961,2024
ED1002,C002,ENGLISH,Delhi,May-24,â‚¹273965,21792,252173,2024
ED1001,C001,hindi,Uttar pradesh,Jul-19,204007,12846,191161,2019
ED1004,C004,Hindi,bihar,Aug-19,277633,19458,258175,2019
ED1003,C003,Hindi,Madhya_Pradesh,Sep-20,262987,9491,253496,2020
ED1003,C003,Hindi,Madhya_Pradesh,Oct-20,270763,19009,251754,2020
ED1003,C003,Hindi,Madhya_Pradesh,Aug-23,237182,15764,221418,2023
ED1002,C002,ENGLISH,Delhi,Jan-24,282501,17096,265405,2024
ED1007,C007,Hindi,Jharkhand,Oct-24,181025,11340,169685,2024
ED1006,C006,english,maharashtra,Dec-21,375713,13938,361775,2021
ED1001,C001,hindi,Uttar pradesh,Jun-22,177239,13834,163405,2022
ED1002,C002,ENGLISH,Delhi,Jan-22,333163,13288,319875,2022
ED1009,C009,Hindi,gujarat,Sep-24,234482,17217,217265,2024
ED1001,C001,hindi,Uttar pradesh,Sep-23,163687,5466,158221,2023
ED1003,C003,Hindi,Madhya_Pradesh,Mar-20,272221,21026,251195,2020
ED1007,C007,Hindi,Jharkhand,Sep-21,â‚¹230861,9420,221441,2021
ED1005,C005,Hindi,Rajasthan,Jan-22,406330,31543,374787,2022
ED1008,C008,Hindi,Uttar Pradesh,Apr-21,331517,14384,317133,2021
ED1001,C001,hindi,Uttar pradesh,Jan-21,192396,12034,180362,2021
ED1008,C008,Hindi,Uttar Pradesh,Feb-22,309472,10895,298577,2022
ED1004,C004,Hindi,bihar,Sep-22,â‚¹222260,14531,207729,2022
ED1008,C008,Hindi,Uttar Pradesh,Nov-22,337050,21221,315829,2022
ED1005,C005,Hindi,Rajasthan,2020/03,445242,18829,426413,2020
ED1006,C006,english,maharashtra,Dec-24,311533,22068,289465,2024
ED1002,C002,ENGLISH,Delhi,Mar-22,310536,10843,299693,2022
ED1002,C002,ENGLISH,Delhi,Nov-19,â‚¹400587,29577,371010,2019
ED1001,C001,hindi,Uttar pradesh,Apr-23,157662,11393,146269,2023
ED1010,C010,Hindi,Uttar-Pradesh,Aug-21,433448,22366,411082,2021
ED1009,C009,Hindi,gujarat,Jan-19,324890,12993,311897,2019
ED1009,C009,Hindi,gujarat,Feb-20,320761,14024,306737,2020
ED1004,C004,Hindi,bihar,Jun-24,196578,14879,181699,2024
ED1004,C004,Hindi,bihar,Jun-22,â‚¹217818,10245,207573,2022
ED1009,C009,Hindi,gujarat,Apr-24,236282,15681,220601,2024
ED1005,C005,Hindi,Rajasthan,Jul-21,421446,30319,391127,2021
ED1001,C001,hindi,Uttar pradesh,Jul-20,191981,10816,181165,2020
ED1004,C004,Hindi,bihar,May-21,249319,14148,235171,2021
ED1006,C006,english,maharashtra,Nov-21,377815,17511,360304,2021
ED1009,C009,Hindi,gujarat,Apr-21,294325,15248,279077,2021
ED1007,C007,Hindi,Jharkhand,Aug-24,192417,7528,184889,2024
ED1001,C001,hindi,Uttar pradesh,Feb-24,156049,9881,146168,2024
ED1003,C003,Hindi,Madhya_Pradesh,Mar-22,250696,9111,241585,2022
